MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,GREENLAM,GREENLAM INDUSTRIES LTD.,       283.55,       287.75,       302.00,       285.00,       295.70,                 12587317.65,42522,N, ,4213,      1997.40,       279.80
N,EQ,GREENPANEL,GREENPANEL INDUSTRIES LTD,       414.70,       420.00,       421.65,       414.20,       418.95,                 86095151.80,205878,N, ,15002,       625.70,       306.25
N,EQ,GREENPLY,GREENPLY INDUSTRIES LTD,       178.50,       181.10,       181.95,       179.70,       179.95,                 17288188.45,95676,N, ,2770,       254.70,       161.35
N,EQ,GREENPOWER,ORIENT GREEN POWER CO LTD,         8.35,         8.40,         8.75,         8.30,         8.75,                 25223922.90,2914107,N, ,3483,        14.35,         3.15
N,EQ,GRINDWELL,GRINDWELL NORTON LIMITED,      2088.40,      2110.00,      2110.00,      2060.00,      2068.50,                 62585893.55,30199,N, ,8159,      2328.35,      1385.70
N,EQ,GRINFRA,G R INFRAPROJECTS LIMITED,      1233.95,      1248.35,      1250.00,      1214.15,      1225.70,                 28885996.65,23509,N, ,2378,      2267.65,      1078.85
N,EQ,GRMOVER,GRM OVERSEAS LIMITED,       404.80,       410.85,       419.90,       405.30,       410.35,                  5774191.15,14086,N, ,2920,       498.00,       369.00
N,EQ,GROBTEA,THE GROB TEA COMPANY LTD,       959.35,       977.05,       977.45,       940.00,       951.10,                   400008.50,419,N, ,154,      1444.80,       709.65
N,EQ,GRPLTD,GRP LIMITED,      1897.30,      1899.05,      1956.50,      1867.50,      1900.15,                 11992751.75,6280,N, ,2596,      2080.10,       900.90
N,EQ,GRSE,GARDEN REACH SHIP&ENG LTD,       355.25,       362.25,       376.00,       355.45,       371.30,                462107016.85,1260699,N, ,20807,       376.00,       187.30
N,EQ,GRWRHITECH,GARWARE HI-TECH FILMS LTD,       741.35,       750.00,       768.00,       733.25,       759.75,                 46175732.50,61689,N, ,3495,       929.00,       583.25
N,EQ,GSCLCEMENT,GUJARAT SIDHEE CEM. LTD.,        40.05,        40.55,        41.40,        40.45,        40.80,                  3366840.65,82383,N, ,663,        54.35,        25.30
N,EQ,GSFC,GUJ STATE FERT & CHEM LTD,       128.25,       130.65,       131.75,       128.80,       129.00,                145780366.85,1123789,N, ,7383,       198.80,       105.00
N,EQ,GSPL,GUJARAT STATE PETRO LTD,       227.30,       229.00,       231.75,       222.50,       223.30,                590794080.45,2626217,N, ,15481,       336.50,       209.45
N,EQ,GSS,GSS INFOTECH LIMITED,       231.05,       233.50,       235.00,       228.05,       229.45,                  4571988.40,19704,N, ,392,       258.50,        75.55
N,SM,GSTL,GLOBESECURE TECHNO LTD,        87.70,        83.35,        83.35,        83.35,        83.35,                  1000200.00,12000,N, ,3,       176.40,        55.00
N,EQ,GTL,GTL LTD,         8.25,         8.40,         8.40,         8.20,         8.25,                  4054423.60,490317,N, ,807,        27.45,         7.80
N,EQ,GTLINFRA,GTL INFRA.LTD,         1.35,         1.40,         1.40,         1.35,         1.40,                 85359947.75,61026045,N, ,6569,         2.10,         1.05
N,EQ,GTPL,GTPL HATHWAY LIMITED,       148.85,       153.70,       153.70,       147.50,       148.50,                 13076345.30,87511,N, ,1467,       313.90,       132.30
N,EQ,GUFICBIO,GUFIC BIOSCIENCES LTD.,       217.35,       221.55,       222.90,       217.60,       220.15,                 12652434.50,57508,N, ,3327,       290.00,       171.75
N,EQ,GUJALKALI,GUJARAT ALKALIES & CHEM,       831.15,       844.65,       861.05,       839.30,       855.15,                175363989.70,205814,N, ,10338,      1044.70,       569.00
N,EQ,GUJAPOLLO,GUJ. APOLLO IND. LTD.,       199.70,       204.80,       223.30,       201.00,       215.05,                 10244811.15,48332,N, ,2643,       276.90,       185.35
N,EQ,GUJGASLTD,GUJARAT GAS LIMITED,       493.80,       497.90,       503.35,       488.05,       490.20,                503476429.85,1018062,N, ,18313,       721.80,       403.55
N,EQ,GULFOILLUB,GULF OIL LUB. IND. LTD.,       427.55,       430.65,       434.95,       427.05,       428.75,                  6182077.45,14353,N, ,776,       620.00,       377.60
N,EQ,GULFPETRO,GP PETROLEUMS LIMITED,        55.25,        56.90,        57.65,        55.50,        56.05,                 19939261.25,351130,N, ,1741,        67.20,        39.40
N,EQ,GULPOLY,GULSHAN POLYOLS LIMITED,       238.55,       246.70,       247.50,       229.15,       238.15,                 18920057.60,79729,N, ,2968,       421.45,       205.20
N,EQ,HAL,HINDUSTAN AERONAUTICS LTD,      2291.60,      2322.10,      2374.20,      2320.00,      2368.00,               1941954985.80,824353,N, ,36850,      2638.35,      1181.20
N,EQ,HAPPSTMNDS,HAPPIEST MINDS TECHNO LTD,       986.45,      1013.70,      1013.95,       993.05,       997.55,                200214802.10,199864,N, ,11119,      1360.00,       785.60
N,EQ,HARDWYN,HARDWYN INDIA LIMITED,       273.75,       282.80,       282.80,       262.35,       270.05,                  3592036.55,13284,N, ,548,       289.90,       120.00
N,EQ,HARIOMPIPE,HARIOM PIPE INDUSTRIES L,       250.65,       254.00,       270.00,       254.00,       264.75,                 61155332.50,232128,N, ,6129,       305.50,       169.10
N,EQ,HARRMALAYA,HARRISON MALAYALAM LTD,       143.70,       144.40,       147.60,       144.40,       146.40,                  2842598.40,19465,N, ,828,       206.25,       129.05
N,EQ,HARSHA,HARSHA ENGINEERS INT LTD,       435.65,       445.50,       453.70,       437.55,       440.00,                523045737.20,1175219,N, ,28229,       527.65,       430.00
N,EQ,HATHWAY,HATHWAY CABLE & DATACOM,        16.05,        16.20,        16.35,        16.10,        16.20,                 21013715.05,1293879,N, ,3170,        27.60,        14.35
N,EQ,HATSUN,HATSUN AGRO PRODUCT LTD.,      1064.50,      1080.00,      1080.00,      1055.50,      1061.65,                 13971713.65,13107,N, ,2498,      1517.90,       837.60
N,EQ,HBLPOWER,HBL POWER SYSTEMS LTD.,        92.90,        94.00,        97.50,        93.75,        97.05,                354704221.35,3703875,N, ,14538,       105.40,        47.30
N,EQ,HBSL,HB STOCKHOLDINGS LIMITED,        50.30,        51.00,        51.65,        49.10,        50.20,                   255208.50,5094,N, ,140,        76.90,        33.10
N,EQ,HCC,HINDUSTAN CONSTRUCTION CO,        13.10,        13.30,        13.50,        13.10,        13.35,                 77922626.90,5844774,N, ,4540,        20.05,         9.00
N,EQ,HCG,HEALTHCARE GLOB. ENT. LTD,       288.05,       288.60,       292.00,       287.30,       289.55,                 63291173.10,218721,N, ,9763,       308.80,       214.90
N,EQ,HCL-INSYS,HCL INFOSYSTEMS LTD,        16.15,        16.30,        16.45,        16.20,        16.25,                  3530419.90,216791,N, ,1329,        31.30,        12.20
N,EQ,HEADSUP,HEADS UP VENTURES LIMITED,        11.55,        11.80,        11.95,        11.45,        11.65,                   639154.30,54647,N, ,516,        22.05,        11.30
N,EQ,HECPROJECT,HEC INFRA PROJECTS LTD,        29.15,        28.45,        28.75,        28.45,        28.75,                      228.80,8,N, ,2,        45.00,        20.30
N,EQ,HEG,HEG LTD,      1053.05,      1075.00,      1077.25,      1061.55,      1068.75,                 74141082.30,69487,N, ,4512,      2629.00,       890.80
N,EQ,HEIDELBERG,HEIDELBERGCEMENT (I) LTD,       186.20,       190.00,       191.95,       188.45,       190.45,                 37420418.80,196695,N, ,3544,       261.35,       164.00
N,EQ,HEMIPROP,HEMISPHERE PROP IND LTD,        92.75,        93.95,        94.85,        92.70,        93.55,                 37654535.95,402504,N, ,3279,       165.90,        92.05
N,EQ,HERANBA,HERANBA INDUSTRIES LTD,       531.70,       535.00,       539.55,       525.00,       529.70,                 25571501.45,48044,N, ,4330,       832.00,       480.00
N,EQ,HERCULES,HERCULES HOI. LTD.,       187.55,       189.35,       197.65,       189.35,       192.00,                 10908042.35,56433,N, ,2547,       231.65,       111.10
N,EQ,HERITGFOOD,HERITAGE FOODS LTD,       337.90,       343.65,       344.40,       332.80,       334.85,                 54331869.45,161867,N, ,5914,       565.00,       250.00
N,EQ,HESTERBIO,HESTER BIOSCIENCES LTD,      1983.25,      1982.00,      2046.95,      1982.00,      2016.85,                 10934121.90,5400,N, ,891,      2949.60,      1950.00
N,EQ,HEXATRADEX,HEXA TRADEX LIMITED,       165.35,       166.05,       166.80,       164.25,       164.85,                   225685.35,1363,N, ,70,       237.00,       111.10
N,EQ,HFCL,HFCL LIMITED,        73.85,        75.50,        75.90,        74.10,        74.50,                387197473.05,5173649,N, ,16972,       101.35,        51.55
N,EQ,HGINFRA,H.G.INFRA ENGINEERING LTD,       583.30,       588.00,       599.00,       588.00,       595.10,                 22543358.80,37844,N, ,3541,       830.00,       482.00
N,EQ,HGS,HINDUJA GLOBAL SOLS. LTD.,      1302.60,      1324.00,      1338.80,      1318.00,      1329.55,                 42213733.15,31749,N, ,3881,      3920.00,       846.00
